objectid,title,artist,date,medium,acquisition,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
countrykitchentruck,Model Country Kitchen Toy Truck,,,Model Toy Truck,"Franco-American Collection, University of Southern Maine Libraries",toys; local business; play; traditions,"Franco-American Collection, University of Southern Maine Libraries",44.09860109,-70.21577215,Franco-American Collection,fac-countrykitchentruck,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/countrykitchentruck.jpg,/objects/small/countrykitchentruck_sm.jpg,/objects/thumbs/countrykitchentruck_th.jpg,Model Country Kitchen Toy Truck,"Toy truck with Country Kitchen bakery logo, formerly Lepage Bakeries, complete with driver, bread, and working lights. Designed and built by Henry Doyon."
mountaindews,The Mountain Dews,,1970,Photograph,Courtesy of Bill Beauchesne; copy print by Jere DeWaters.,black and white photograph; music; traditions; local acts; performance; play,"Franco-American Collection, University of Southern Maine Libraries",43.65622181,-70.26122002,"Franco-American Collection, University of Southern Maine Libraries",fac-themountaindews,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/mountaindews.jpg,/objects/small/mountaindews_sm.jpg,/objects/thumbs/mountaindews_th.jpg,"Photograph of ""The Mountain Dews""","Chuck Frechette, Bill Beauchesne, and Marcel Larrivee [L to R] have performed together since 1965. They began playing for Le Club Musicale Literaire, and after adding more members, became The Mountain Dews. Their repertoire includes western and bluegrass music. Bill first heard a bass washtub on the Ted Mack Amateur Radio Hour. He figured out how to make one and how to play it. Bill was 12 when he got together with a group of neighborhood friends playing guitar, harmonica, and washboard. Their gigs included bean suppers in church basements. Other members of the Mountain Dews have been Roland Boileau, Ray Chouinard, Bob Boothbay, Bill Anctil and Pauline St. Denis."
threechildren,Three Children with Instruments,,1940,Photographic reprint,"Franco-American Music Traditions Collection, Franco-American Collection, University of Southern Maine Libraries.",black and white photograph; music; traditions; performance; play,"Franco-American Collection, University of Southern Maine Libraries",43.65622181,-70.26122002,"Franco-American Music Traditions Collection, Franco-American Collection, University of Southern Maine Libraries.",fac-threechildren,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/threechildren.jpg,/objects/small/threechildren_sm.jpg,/objects/thumbs/threechildren_th.jpg,Photograph of three children with instruments sitting on porch steps,
carrollpoulin,Carroll Poulin (3 mos. old) with father Joseph Poulin,,1916,Photograph,"Courtesy of Carroll Poulin, Sr.",black and white photograph; music; traditions; local business; performance; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-carrollpoulin,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/carrollpoulin.jpg,/objects/small/carrollpoulin_sm.jpg,/objects/thumbs/carrollpoulin_th.jpg,"Photograph of an infant set inside a tuba horn, seated next to his father",
holyfamily,Holy Family Parish Choir,,11-19-1978,Photographic reprint,Courtesy of Roland M. Roy and Diane J. Biron,black and white photograph; music; traditions; religion; performance; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-holyfamilyparish,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/holyfamily.jpg,/objects/small/holyfamily_sm.jpg,/objects/thumbs/holyfamily_th.jpg,,
bettyolsen,Betty Olsen Ice Skating Outdoors,,1970,Original Photograph,"Betty Olson Collection, Franco-American Collection, University of Southern Maine Libraries.",color photograph; outdoor sports; traditions; winter; performance; play,"Betty Olson Collection, Franco-American Collection, University of Southern Maine Libraries.",,,"Franco-American Collection, University of Southern Maine Libraries",fac-bettyolsen,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/bettyolsen.jpg,/objects/small/bettyolsen_sm.jpg,/objects/thumbs/bettyolsen_th.jpg,,
poetrybook,Undated book of poetry written by Marie-Jeanne Laurendeau,,year unknown,Composition book,"Laurendeau Family Collection, Franco-American Collection, University of Southern Maine Libraries.",writing; poetry; book; traditions; creative; memorobilia; play,"Laurendeau Family Collection, Franco-American Collection, University of Southern Maine Libraries.",,,"Franco-American Collection, University of Southern Maine Libraries",fac-poetrybook,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/poetrybook.jpg,/objects/small/poetrybook_sm.jpg,/objects/thumbs/poetrybook_th.jpg,,
lorpheon,"Cast of L’Orpheon’s production of L’amour a bord, (H.M.S Pinafore) Photograph",,1939,Photographic reprint,Franco-American Heritage Collection; copy print by Jere DeWaters.,black and white photograph; theater; traditions; costume; performance; play,"Franco-American Heritage Collection, Franco American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-castoflorpheon,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/lorpheon.jpg,/objects/small/lorpheon_sm.jpg,/objects/thumbs/lorpheon_th.jpg,,
icepalace,"Ice Palace, Main Street, Lewiston",,1926,Photographic reprint,"Franco-American Collection, University of Southern Maine Libraries",black and white photograph; outdoor; traditions; winter; festival; play,"Franco-American Collection, University of Southern Maine Libraries",44.12753609,-70.20013232,"Franco-American Collection, University of Southern Maine Libraries",fac-icepalace,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/icepalace.jpg,/objects/small/icepalace_sm.jpg,/objects/thumbs/icepalace_th.jpg,,
lakeauburn,"Boating at Lake Grove, Auburn",,1925,Photographic reprint,"Franco-American Collection, University of Southern Maine Libraries",black and white photograph; outdoor; traditions; water; sports; play,"Franco-American Collection, University of Southern Maine Libraries",44.14516365,-70.22726507,"Franco-American Collection, University of Southern Maine Libraries",fac-lakeauburn,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/lakeauburn.jpg,/objects/small/lakeauburn_sm.jpg,/objects/thumbs/lakeauburn_th.jpg,,
